"index";"Company";"TypeName";"price_bracket"
0;"Apple";"Ultrabook";"70000"
1;"Apple";"Ultrabook";"50000"
2;"HP";"Notebook";"30000"
3;"Apple";"Ultrabook";"130000"
4;"Apple";"Ultrabook";"90000"
5;"Acer";"Notebook";"30000"
6;"Apple";"Ultrabook";"110000"
7;"Apple";"Ultrabook";"70000"
8;"Asus";"Ultrabook";"70000"
9;"Acer";"Ultrabook";"50000"
10;"HP";"Notebook";"30000"
11;"HP";"Notebook";"10000"
12;"Apple";"Ultrabook";"130000"
13;"Dell";"Notebook";"30000"
14;"Apple";"Ultrabook";"70000"
15;"Apple";"Ultrabook";"90000"
16;"Dell";"Notebook";"30000"
17;"Apple";"Ultrabook";""
18;"Lenovo";"Notebook";"30000"
19;"Dell";"Ultrabook";"50000"
21;"Lenovo";"Gaming";"50000"
22;"HP";"Notebook";"10000"
23;"Dell";"2 in 1 Convertible";"50000"
24;"HP";"Ultrabook";"30000"
25;"Dell";"Notebook";"30000"
26;"Apple";"Ultrabook";"50000"
27;"Dell";"Notebook";"50000"
28;"Dell";"Ultrabook";"70000"
29;"HP";"Notebook";"50000"
30;"Chuwi";"Notebook";"10000"
31;"Asus";"Notebook";"10000"
32;"HP";"Notebook";"30000"
33;"Dell";"Ultrabook";"90000"
34;"Apple";"Ultrabook";"50000"
35;"Lenovo";"Notebook";"10000"
36;"Acer";"Notebook";"10000"
37;"Dell";"Notebook";"50000"
38;"HP";"Notebook";"30000"
39;"HP";"Notebook";"50000"
40;"Asus";"Notebook";"30000"
41;"Dell";"Gaming";"70000"
42;"Asus";"Notebook";"30000"
43;"Acer";"Notebook";"30000"
44;"Dell";"2 in 1 Convertible";"50000"
45;"Apple";"Ultrabook";"70000"
47;"Asus";"Gaming";"70000"
48;"Dell";"Notebook";"30000"
49;"Asus";"Notebook";"30000"
51;"Acer";"Notebook";"50000"
52;"HP";"Notebook";"30000"
53;"HP";"Notebook";"50000"
54;"Acer";"Notebook";"30000"
55;"Dell";"Notebook";"50000"
56;"HP";"Notebook";"30000"
57;"Asus";"Notebook";"30000"
58;"MSI";"Gaming";"130000"
59;"Asus";"Notebook";"30000"
60;"Dell";"Notebook";"70000"
61;"Dell";"Ultrabook";"50000"
62;"Lenovo";"Notebook";"30000"
63;"Asus";"Notebook";"50000"
64;"HP";"Notebook";"30000"
65;"Asus";"Ultrabook";"110000"
66;"HP";"Notebook";"30000"
67;"HP";"Notebook";"10000"
68;"Lenovo";"Notebook";"30000"
69;"Asus";"Gaming";"50000"
70;"Microsoft";"Ultrabook";"50000"
71;"Dell";"Ultrabook";"50000"
72;"Dell";"Notebook";"50000"
73;"MSI";"Gaming";"50000"
74;"Acer";"Notebook";"30000"
75;"Asus";"Gaming";"50000"
76;"Lenovo";"Notebook";"30000"
77;"Dell";"Notebook";"50000"
78;"Acer";"Notebook";"30000"
79;"HP";"Notebook";"50000"
80;"Dell";"Ultrabook";"50000"
81;"Apple";"Ultrabook";"90000"
82;"HP";"Notebook";"50000"
83;"Lenovo";"Notebook";"30000"
84;"Acer";"Notebook";"30000"
85;"Dell";"Gaming";"70000"
86;"HP";"Ultrabook";"30000"
87;"HP";"Notebook";"30000"
88;"Asus";"Gaming";"70000"
89;"Dell";"Ultrabook";"90000"
90;"Asus";"Gaming";"30000"
91;"Acer";"Notebook";"30000"
92;"HP";"Notebook";"70000"
93;"Dell";"Gaming";"70000"
94;"Asus";"Ultrabook";"50000"
95;"Acer";"2 in 1 Convertible";"50000"
96;"Dell";"Notebook";"30000"
97;"Dell";"Notebook";"30000"
98;"Asus";"Notebook";"30000"
99;"HP";"Gaming";"70000"
100;"HP";"Notebook";"30000"
101;"HP";"Notebook";"10000"
102;"Dell";"Notebook";"30000"
103;"HP";"Ultrabook";"50000"
104;"Microsoft";"Ultrabook";"70000"
105;"HP";"Notebook";"30000"
106;"Lenovo";"Notebook";"30000"
107;"Asus";"Ultrabook";"70000"
108;"MSI";"Gaming";"70000"
109;"Lenovo";"Notebook";"70000"
110;"Asus";"Ultrabook";"70000"
111;"Dell";"Ultrabook";"70000"
112;"Lenovo";"2 in 1 Convertible";"70000"
113;"HP";"Notebook";"30000"
114;"Dell";"Ultrabook";"90000"
116;"HP";"Notebook";"50000"
117;"Dell";"Notebook";"70000"
118;"Asus";"Notebook";"30000"
119;"Asus";"Notebook";"50000"
120;"Acer";"Notebook";"30000"
121;"MSI";"Gaming";"110000"
122;"Lenovo";"Notebook";"30000"
123;"HP";"Notebook";"70000"
124;"Acer";"Notebook";"30000"
126;"HP";"Notebook";"50000"
127;"Asus";"Notebook";"10000"
128;"Dell";"Notebook";"70000"
129;"HP";"Notebook";"50000"
130;"Dell";"Notebook";"30000"
131;"Dell";"Notebook";"30000"
132;"Acer";"Ultrabook";"50000"
133;"Acer";"Notebook";"30000"
134;"HP";"Notebook";"30000"
135;"HP";"Notebook";"50000"
136;"Lenovo";"Notebook";"10000"
137;"Asus";"Gaming";"50000"
138;"Lenovo";"Notebook";"30000"
139;"HP";"Notebook";"30000"
140;"Acer";"Notebook";"30000"
141;"Lenovo";"Notebook";"50000"
142;"Lenovo";"Gaming";"50000"
143;"Toshiba";"Notebook";"30000"
144;"HP";"Notebook";"10000"
145;"Asus";"Ultrabook";"50000"
146;"HP";"Ultrabook";"110000"
147;"Asus";"Notebook";"10000"
149;"Acer";"Notebook";"30000"
150;"Dell";"Gaming";"70000"
151;"Dell";"Gaming";"50000"
152;"Lenovo";"Notebook";"30000"
153;"MSI";"Gaming";"110000"
154;"HP";"Ultrabook";"50000"
155;"HP";"Notebook";"30000"
156;"Lenovo";"2 in 1 Convertible";"30000"
157;"Asus";"2 in 1 Convertible";"70000"
158;"Dell";"2 in 1 Convertible";"50000"
