"index";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"IPS_Panel";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
0;"Apple";"Ultrabook";13.3;"small";1600;2560;0;1;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";" Iris Plus Graphics 640";"macos";"1.37";71379;227
1;"Apple";"Ultrabook";13.3;"small";900;1440;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";"1.34";47896;128
2;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";"1.86";30636;141
3;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";" Radeon Pro 455";"macos";"1.83";135195;221
4;"Apple";"Ultrabook";13.3;"small";1600;2560;0;1;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";" Iris Plus Graphics 650";"macos";"1.37";96096;227
5;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";" Radeon R5";"windows";"2.1";21312;100
6;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;1;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";" Iris Pro Graphics";"macos";"2.04";114018;221
7;"Apple";"Ultrabook";13.3;"small";900;1440;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";"1.34";61736;128
8;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce MX150";"windows";"1.3";79654;157
9;"Acer";"Ultrabook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.6";41026;157
10;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";" HD Graphics 620";"N/A";"1.86";20987;100
11;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";" HD Graphics 520";"N/A";"1.86";18381;141
12;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";" Radeon Pro 555";"macos";"1.83";130002;221
13;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";"2.2";26581;141
14;"Apple";"Ultrabook";12.0;"small";1440;2304;0;1;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";" HD Graphics 615";"macos";"0.92";67261;226
15;"Apple";"Ultrabook";13.3;"small";1600;2560;0;1;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"macos";"1.37";80908;227
16;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";"2.2";39694;141
17;"Apple";"Ultrabook";15.4;"medium";1800;2880;0;1;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";" Radeon Pro 560";"macos";"1.83";152274;221
18;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"N/A";"2.2";26587;141
19;"Dell";"Ultrabook";13.3;"small";1080;1920;1;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";" UHD Graphics 620";"windows";"1.22";52161;166
21;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"2.5";53227;141
22;"HP";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"N/A";"1.86";13746;100
23;"Dell";"2 in 1 Convertible";13.3;"small";1080;1920;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.62";43636;166
24;"HP";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.91";35112;141
25;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";"2.3";22305;100
26;"Apple";"Ultrabook";13.3;"small";900;1440;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";"1.35";58555;128
27;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon 530";"windows";"2.2";42624;141
28;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";" UHD Graphics 620";"windows";"1.88";69157;141
